,0,1,2,3
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0.001563533,0.005836703,0.006160689,0.004702656
6,0.016898678,0.026851387,0.085111645,0.03677525
7,0.151394192,0.076852762,0.247637097,0.088877719
8,0.359272292,0.161063742,0.452850716,0.176989492
9,0.523566311,0.234340344,0.610418502,0.273591117
10,0.646525742,0.292813941,0.709856451,0.388640875
11,0.679849594,0.31538907,0.761308622,0.538824918
12,0.6606119,0.30697182,0.75751941,0.638645984
13,0.562934325,0.269050398,0.700289733,0.612146461
14,0.435006936,0.242676828,0.595036155,0.494969094
15,0.270159739,0.156589387,0.44299875,0.350788039
16,0.069243883,0.075957113,0.234613781,0.169556672
17,0.008349914,0.026021059,0.050042971,0.037217871
18,0.000408903,0.001189063,0.001794303,0.001752855
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
